학수번호,강의시간,강의실
AIE2001-001,"목1,2,3,4,5,6(5서360) /금1,2,3,4",60주년-906
AIE2001-002,"목1,2,3,4,5,6(5서360) /금5,6,7,8",60주년-906
AIE2005-001,"화10,11,12,목10,11,12",60주년-907
DSC1003-001,"화4,5,6,목4,5,6",60주년-907
DSC2003-001,"월13,14,15,수13,14,15",60주년-907
DSC2008-001,"월10,11,12,수10,11,12",60주년-907
DSC2003-002,"화13,14,15,목13,14,15",60주년-907
DSC4001-001,"금1,2,3,4,5,6",60주년-907
CDN2220-001,"목1,2,3,4,5,6",60주년-904
CDN2220-002,"목10,11,12,13,14,15",60주년-904
DET1002-001,"수10,11,12,13,14,15",60주년-904
DET1002-002,"수16,17,18,19,20,21",60주년-904
DET1015-001,"월13,14,15,16,17,18",60주년-908
DET1015-002,"금13,14,15,16,17,18",60주년-908
DET2001-001,"목1,2,3,4,5,6",60주년-908
DET2001-002,"목10,11,12,13,14,15",60주년-908
DET2001-003,"목16,17,18,19,20,21",60주년-908
DET3002-001,"수10,11,12,13,14,15",60주년-908
DET3012-001,"화10,11,12,13,14,15",60주년-908
DET3012-002,"화16,17,18,19,20,21",60주년-908
DET3020-001,"화1,2,3,4,5,6",60주년-908
DET4010-001,"금10,11,12,13,14,15",60주년-904
DET4010-002,"금1,2,3,4,5,6",60주년-908
ICT2005-001,"수19,20,21,22,23,24,25,26",60주년-908
ICT3001-001,"화19,20,21,22,23,24",60주년-907
ICT4005-001,"월19,20,21,22,23,24",60주년-907
GEB1117-030,"셀0(웹강의) /수16,17,18",60주년-108
FAT1701-001,"화1,2,3,4,5,6",60주년-712
IPS1513-001,"월1,2,3,4,5,6",60주년-611
ACE2901-027,"화10,11,12,목10,11,12",60주년-509
BTE1201-001,"목19,20,21,22,23,24",60주년-207
ABC9026-001,"금7,8,9,10",60주년-509
BIO3109-001,"화1,2,3,목1,2,3",60주년-809
CVS2030-001,"화13,14,15(2남227) /화16,17,18",60주년-809
CVA2022-001,"화1,2,3,목1,2,3",60주년-808
GEB1117-033,"셀0(웹강의) /목1,2,3",60주년-101
GEB1117-034,"셀0(웹강의) /목1,2,3",60주년-106
GEB1117-035,"셀0(웹강의) /목1,2,3",60주년-108
GEB1118-001,"수9,10,11,12",60주년-106
GEB1118-002,"목9,10,11,12",60주년-106
GEB1118-003,"수9,10,11,12",60주년-108
GEB1118-004,"목9,10,11,12",60주년-108
LCS1901-001,"금1,2,3,4,5,6",60주년-108
LCS1901-002,"금7,8,9,10,11,12",60주년-108
